year,country_name,hdi_category,indicator_name,references,values
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,113
,Mongolia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,114
,Honduras,MEDIUM HUMAN DEVELOPMENT,HDI rank,,115
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,116
,Bolivia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,117
,Guatemala,MEDIUM HUMAN DEVELOPMENT,HDI rank,,118
,Gabon,MEDIUM HUMAN DEVELOPMENT,HDI rank,,119
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,HDI rank,,120
,South Africa,MEDIUM HUMAN DEVELOPMENT,HDI rank,,121
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,122
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,HDI rank,,123
,Botswana,MEDIUM HUMAN DEVELOPMENT,HDI rank,,124
,Namibia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,125
,Morocco,MEDIUM HUMAN DEVELOPMENT,HDI rank,,126
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,,127
,India,MEDIUM HUMAN DEVELOPMENT,HDI rank,,128
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,HDI rank,,129
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,HDI rank,,130
,Cambodia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,131
,Myanmar,MEDIUM HUMAN DEVELOPMENT,HDI rank,,132
,Bhutan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,133
,Comoros,MEDIUM HUMAN DEVELOPMENT,HDI rank,,134
,Ghana,MEDIUM HUMAN DEVELOPMENT,HDI rank,,135
,Pakistan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,136
,Mauritania,MEDIUM HUMAN DEVELOPMENT,HDI rank,,137
,Lesotho,MEDIUM HUMAN DEVELOPMENT,HDI rank,,138
,Congo,MEDIUM HUMAN DEVELOPMENT,HDI rank,,139
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,HDI rank,,140
,Swaziland,MEDIUM HUMAN DEVELOPMENT,HDI rank,,141
,Nepal,MEDIUM HUMAN DEVELOPMENT,HDI rank,,142
,Madagascar,MEDIUM HUMAN DEVELOPMENT,HDI rank,,143
,Cameroon,MEDIUM HUMAN DEVELOPMENT,HDI rank,,144
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,HDI rank,,145
,Haiti,MEDIUM HUMAN DEVELOPMENT,HDI rank,,146
,Sudan,MEDIUM HUMAN DEVELOPMENT,HDI rank,,147
,Kenya,MEDIUM HUMAN DEVELOPMENT,HDI rank,,148
,Djibouti,MEDIUM HUMAN DEVELOPMENT,HDI rank,,149
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,HDI rank,,150
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,HDI rank,,151
,Togo,MEDIUM HUMAN DEVELOPMENT,HDI rank,,152
,Yemen,MEDIUM HUMAN DEVELOPMENT,HDI rank,,153
,Uganda,MEDIUM HUMAN DEVELOPMENT,HDI rank,,154
,Gambia,MEDIUM HUMAN DEVELOPMENT,HDI rank,,155
,Senegal,LOW HUMAN DEVELOPMENT,HDI rank,,156
,Eritrea,LOW HUMAN DEVELOPMENT,HDI rank,,157
,Nigeria,LOW HUMAN DEVELOPMENT,HDI rank,,158
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,HDI rank,,159
,Guinea,LOW HUMAN DEVELOPMENT,HDI rank,,160
,Rwanda,LOW HUMAN DEVELOPMENT,HDI rank,,161
,Angola,LOW HUMAN DEVELOPMENT,HDI rank,,162
,Benin,LOW HUMAN DEVELOPMENT,HDI rank,,163
,Malawi,LOW HUMAN DEVELOPMENT,HDI rank,,164
,Zambia,LOW HUMAN DEVELOPMENT,HDI rank,,165
,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,HDI rank,,166
,Burundi,LOW HUMAN DEVELOPMENT,HDI rank,,167
,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,HDI rank,,168
,Ethiopia,LOW HUMAN DEVELOPMENT,HDI rank,,169
,Chad,,HDI rank,,170
,Central African Republic,,HDI rank,,171
,Mozambique,,HDI rank,,172
,Mali,,HDI rank,,173
,Niger,,HDI rank,,174
,Guinea-Bissau,,HDI rank,,175
,Burkina Faso,,HDI rank,,176
,Sierra Leone,,HDI rank,,177
,Iceland,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,15.8
,Norway,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,295.5
,Australia,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,732.5
,Canada,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"1,113.8"
,Ireland,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,201.8
,Sweden,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,357.7
,Switzerland,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,367.0
,Japan,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"4,534.0"
,Netherlands,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,624.2
,France,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"2,126.6"
,Finland,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,193.2
,United States,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"12,416.5"
,Spain,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"1,124.6"
,Denmark,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,258.7
,Austria,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,306.1
,United Kingdom,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"2,198.8"
,Belgium,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,370.8
,Luxembourg,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,36.5
,New Zealand,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,109.3
,Italy,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"1,762.5"
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,177.7
,Germany,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"2,794.9"
,Israel,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,123.4
,Greece,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,225.2
,Singapore,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,116.8
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,787.6
,Slovenia,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,34.4
,Cyprus,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,c,15.4
,Portugal,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,183.3
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,6.4
,Barbados,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,3.1
,Czech Republic,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,124.4
,Kuwait,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,80.8
,Malta,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,5.6
,Qatar,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,42.5
,Hungary,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,109.2
,Poland,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,303.2
,Argentina,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,183.2
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,129.7
,Chile,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,115.2
,Bahrain,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,12.9
,Slovakia,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,46.4
,Lithuania,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,25.6
,Estonia,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,13.1
,Latvia,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,15.8
,Uruguay,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,16.8
,Croatia,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,38.5
,Costa Rica,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,20.0
,Bahamas,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,e,5.5
,Seychelles,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.7
,Cuba,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,..
,Mexico,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,768.4
,Bulgaria,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,26.6
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.5
,Tonga,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.2
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,38.8
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.9
,Oman,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,c,24.3
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,14.4
,Romania,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,98.6
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,309.8
,Panama,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,15.5
,Malaysia,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,130.3
,Belarus,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,29.6
,Mauritius,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,6.3
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,9.9
,Russian Federation,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,763.7
,Albania,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,8.4
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,5.8
,Brazil,HIGH HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,796.1
,Dominica,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.3
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.8
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,57.1
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,140.2
,Colombia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,122.3
,Ukraine,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,82.9
,Samoa,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.4
,Thailand,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,176.6
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,29.5
,Belize,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,1.1
,China,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,"2,234.3"
,Grenada,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.5
,Armenia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,4.9
,Turkey,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,362.5
,Suriname,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,1.3
,Jordan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,12.7
,Peru,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,79.4
,Lebanon,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,21.9
,Ecuador,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,36.5
,Philippines,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,99.0
,Tunisia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,28.7
,Fiji,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.7
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.4
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,189.8
,Paraguay,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,7.3
,Georgia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,6.4
,Guyana,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.8
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,12.6
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,23.5
,Maldives,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.8
,Jamaica,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,9.6
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,1.0
,El Salvador,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,17.0
,Algeria,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,102.3
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,52.4
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,4.0
,Indonesia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,287.2
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,26.3
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,8.1
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,4.9
,Moldova,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.9
,Egypt,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,89.4
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,14.0
,Mongolia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,1.9
,Honduras,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,8.3
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.4
,Bolivia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,9.3
,Guatemala,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,31.7
,Gabon,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,8.1
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,..
,South Africa,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,239.5
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.3
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.1
,Botswana,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,10.3
,Namibia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,6.1
,Morocco,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,51.6
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,3.2
,India,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,805.7
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.3
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.9
,Cambodia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,6.2
,Myanmar,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,..
,Bhutan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.8
,Comoros,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.4
,Ghana,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,10.7
,Pakistan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,110.7
,Mauritania,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,1.9
,Lesotho,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,1.5
,Congo,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,5.1
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,60.0
,Swaziland,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.7
,Nepal,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,7.4
,Madagascar,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,5.0
,Cameroon,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,16.9
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,4.9
,Haiti,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,4.3
,Sudan,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,27.5
,Kenya,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,18.7
,Djibouti,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.7
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.3
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,3.4
,Togo,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.2
,Yemen,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,15.1
,Uganda,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,8.7
,Gambia,MEDIUM HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,0.5
,Senegal,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,8.2
,Eritrea,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,1.0
,Nigeria,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,99.0
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,12.1
,Guinea,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,3.3
,Rwanda,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.2
,Angola,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,32.8
,Benin,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,4.3
,Malawi,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,2.1
,Zambia,LOW HUMAN DEVELOPMENT,GDP - billions dollar US 2005,,7.3
